Date,QQQ,UUP,FXE,FXY,FXNAX,SEGA.MI
12/7/2012,59.433445,21.308945,128.360001,118.980003,9.477859,108.980003
12/10/2012,59.607376,21.279873,128.5,119.080002,9.477859,108.580002
12/11/2012,60.385406,21.202349,129.080002,118.830002,9.469931,108.690002
12/12/2012,60.257256,21.163591,129.699997,117.919998,9.446133,108.849998
12/17/2012,60.000969,21.07638,130.660004,116.970001,9.430271,109.029999
12/18/2012,60.916321,21.008547,131.259995,116.510002,9.414411,109.160004
12/19/2012,60.650887,20.998856,131.440002,116.199997,9.422341,109.339996
12/20/2012,60.650887,20.979475,131.460007,116.169998,9.422341,109.480003
12/21/2012,60.012997,21.086069,130.869995,116.43,9.439015,109.480003
12/27/2012,59.276642,21.086069,131.410004,113.940002,9.446957,108.089996
1/2/2013,61.853878,21.144209,130.869995,112.379997,9.440575,108.110001
1/3/2013,61.531719,21.308945,129.580002,112.370003,9.416712,107.949997
1/4/2013,61.329239,21.308945,129.809998,111.25,9.424668,107.949997
1/7/2013,61.347645,21.241112,130.149994,111.75,9.424668,107.639999
1/8/2013,61.227978,21.270184,129.850006,112.650002,9.43262,107.800003
1/10/2013,61.826267,21.124828,131.5,111.080002,9.424668,107.970001
1/11/2013,61.909119,21.066685,132.360001,109.919998,9.43262,107.970001
1/14/2013,61.632977,21.037615,132.820007,109.580002,9.43262,107.900002
1/15/2013,61.329239,21.095758,132.130005,110.370003,9.43262,108
1/18/2013,61.734238,21.173281,132.190002,108.879997,9.424668,107.769997
1/22/2013,61.835468,21.153898,132.149994,110.489998,9.43262,107.889999
1/25/2013,61.669804,21.105448,133.539993,107.82,9.392852,107.900002
1/28/2013,61.807884,21.115141,133.5,107.970001,9.376945,107.459999
1/29/2013,61.817074,21.056995,133.860001,108.050003,9.368996,107.629997
1/30/2013,61.688198,20.969782,134.589996,107.599998,9.368996,107.440002
1/31/2013,61.550129,20.950405,134.720001,107.18,9.394494,107.5
2/1/2013,62.27729,20.931023,135.490005,105.559998,9.378551,107.5
2/4/2013,61.191177,21.037615,134.059998,106.239998,9.40246,107.309998
2/5/2013,62.093204,21.027927,134.679993,104.779999,9.386526,107.290001
2/6/2013,61.890705,21.095758,134.130005,104.849998,9.40246,107.139999
2/7/2013,61.945946,21.212042,132.919998,104.709999,9.40246,107.279999
2/8/2013,62.581028,21.221731,132.589996,105.690002,9.394494,107.279999
2/11/2013,62.599422,21.241112,132.940002,104.419998,9.394494,107.160004
2/13/2013,62.562626,21.202349,133.360001,104.849998,9.370584,107.290001
