"","QQQ.Adjusted","FEZ.Adjusted","AIA.Adjusted","VNQ.Adjusted","IQQP.DE.Adjusted","UUP.Adjusted","FXE.Adjusted","FXY.Adjusted","FXNAX.Adjusted","SEGA.MI.Adjusted"
"155",58.364685,24.599691,36.834187,42.027775,23.690001,21.405848,131.600006,120.769997,9.180064,104.410004
"156",57.791962,23.427929,35.732937,41.470943,23.120001,21.54151,130.589996,121.669998,9.195601,104.059998
"157",58.237415,23.801098,36.168503,41.695019,23.24,21.51244,130.880005,121.25,9.180064,104.290001
"158",58.864697,24.539984,36.760216,41.47773,23.870001,21.367085,132.080002,120.580002,9.164532,104.550003
"159",59.13744,24.338472,36.719116,41.987015,24.26,21.54151,130.910004,119.639999,9.164532,104.470001
"160",60.576492,25.210152,37.302616,42.903763,25.219999,21.493061,131.080002,117.989998,9.09463,103.699997
"161",61.113758,25.067934,36.546543,43.141445,24.950001,21.415539,131.630005,117.489998,9.071331,103.800003
"162",61.122875,24.8284,36.768433,43.08033,24.959999,21.42523,131.470001,117.970001,9.09463,103.709999
"163",60.995377,24.484085,36.431496,42.489548,24.75,21.454298,131.25,119.150002,9.09463,103.660004
"164",60.958965,24.603851,36.530102,42.754368,24.48,21.338017,132.070007,119.360001,9.110166,103.879997
"165",62.024406,24.985598,36.998547,43.255455,24.75,21.202351,132.960007,118.779999,9.110166,103.879997
"166",62.115452,24.633787,36.99033,43.262287,24.940001,21.279875,132.600006,118.300003,9.125695,103.75
"167",61.869602,24.356844,36.694481,43.193836,24.66,21.270184,132.580002,118.760002,9.125695,103.849998
"168",61.632835,24.012522,36.291771,43.214375,24.24,21.260494,132.309998,119.32,9.133466,103.599998
"169",61.514427,24.289473,36.57119,43.570328,24.559999,21.231422,132.720001,118.779999,9.131133,103.989998
"170",62.151917,24.521515,37.105389,43.878376,24.66,21.182972,132.669998,119.830002,9.154481,104.07
"171",62.133686,23.832872,36.957447,43.707241,24.6,21.338017,131.699997,118.739998,9.115564,103.919998
"172",61.286812,23.144241,36.423275,43.228062,24.01,21.444609,130.75,119.32,9.131133,103.470001
"173",61.669273,22.867283,36.850616,43.063786,23.969999,21.51244,130.039993,119.360001,9.146694,103.300003
"174",60.221325,22.103796,35.568573,41.68787,23.610001,21.47368,130.190002,121.919998,9.208972,102.900002
"175",60.512737,22.522963,35.946609,42.221806,23.85,21.444609,130.429993,121.559998,9.1934,103.18
"176",61.204838,22.844822,36.669815,42.803658,24.01,21.299253,131.279999,121.610001,9.177836,103.449997
"177",60.27597,22.051395,36.398617,42.625687,23.74,21.47368,130.149994,121.400002,9.208972,103.18
"178",59.602081,22.305901,36.365742,43.207523,23.58,21.386467,130.740005,122.269997,9.20119,102.989998
"179",60.658443,22.463081,36.579414,43.282833,23.860001,21.376776,130.529999,121.050003,9.208972,103.279999
"180",59.975456,22.051395,36.513664,43.282833,23.74,21.367085,130.690002,120.559998,9.208972,103.099998
"181",59.265152,21.871748,35.798683,43.358128,23.299999,21.318634,130.850006,121.199997,9.21676,102.849998
"182",58.946423,22.14122,36.102749,44.008423,23.76,21.260494,131.199997,120.959999,9.208972,103.099998
"183",61.068214,22.418177,37.393024,45.233738,24.139999,21.221729,130.899994,122.669998,9.244844,103.760002
"184",58.454666,21.669655,35.593227,44.802483,23.690001,21.51244,128.789993,122.970001,9.25265,104.370003
"185",57.707912,20.6367,34.450878,44.09742,23.379999,21.822531,126.660004,122.519997,9.26825,103.68
"186",57.316349,20.539387,33.735905,43.611412,23.43,21.870983,126.440002,122.440002,9.26825,103.669998
"187",56.924778,20.883703,33.571533,42.735203,23.469999,21.696554,127.559998,123.970001,9.260447,103.940002
"188",56.524082,20.367228,32.634663,42.89949,23.52,22.113237,124.480003,123.389999,9.25265,104.849998
"189",56.760841,19.723501,33.004475,42.475082,23.299999,22.268284,123.059998,124.290001,9.283854,104.419998
"190",56.51498,19.790873,33.209927,42.796814,23.280001,22.277973,123.029999,125.43,9.321392,104.93
"191",55.65897,19.69356,32.396324,42.317642,22.950001,22.190762,123.910004,124.839996,9.31357,105.650002
"192",56.933872,20.404652,33.29211,43.255455,23.68,22.006643,125.129997,123.989998,9.290107,105.400002
"193",56.706211,20.277405,33.604408,42.947418,23.66,22.035717,125,123.5,9.30575,105.040001
"194",56.287319,20.045364,32.799019,42.577778,23.200001,22.132618,124.169998,123.720001,9.31357,104.419998
"195",58.032234,20.539864,34.138603,44.015274,23.23,21.900053,125.089996,124.230003,9.321392,103.529999
"196",58.634651,21.11149,34.656345,44.193253,23.629999,21.735319,126.139999,124.489998,9.30575,101.980003
"197",58.680283,21.204184,34.537628,44.172726,23.76,21.764387,126.129997,123.639999,9.30575,102.239998
"198",57.219906,20.663458,33.450024,43.453964,23.67,21.996954,124.769997,122.400002,9.321392,102.660004
"199",57.822308,20.926098,33.433414,43.460815,23.629999,21.948503,124.93,122.230003,9.297934,102.739998
"200",57.411575,20.508968,33.283974,43.55674,23.700001,22.045406,123.980003,123.290001,9.31357,102.739998
"201",58.561634,21.798988,34.404781,45.157955,24.26,21.774078,125.879997,122.940002,9.333127,102.739998
"202",59.227928,22.177492,34.811596,45.92403,24.83,21.803148,125.43,123.040001,9.348794,102.739998
"203",59.26445,21.420477,34.728569,45.641068,24.879999,22.093857,123.220001,123.019997,9.364471,102.739998
